Date,Open,High,Low,Close,Adj Close,Volume
1/11/2017,119.09,119.91,119.09,119.91,119.91,192000.00
1/12/2017,119.64,119.94,118.36,119.64,119.64,218700.00
1/13/2017,119.82,119.90,119.52,119.81,119.81,112900.00
1/17/2017,118.85,118.96,118.17,118.41,118.41,190600.00
1/18/2017,118.71,118.99,118.52,118.79,118.79,138500.00
1/19/2017,119.56,119.95,118.90,119.31,119.31,106800.00
1/20/2017,119.12,119.39,118.66,118.92,118.92,122600.00
1/23/2017,118.45,118.45,117.75,118.29,118.29,140500.00
1/24/2017,116.91,117.92,116.69,117.64,117.64,304200.00
1/25/2017,118.62,119.29,118.52,119.06,119.06,233200.00
1/26/2017,119.43,119.99,118.96,118.98,118.98,182400.00
1/27/2017,117.09,117.09,116.50,116.69,116.69,196700.00
1/30/2017,116.36,116.58,115.55,116.07,116.07,159200.00
1/31/2017,116.21,116.37,115.07,115.75,115.75,324600.00
2/1/2017,115.84,116.15,115.04,115.26,115.26,323500.00
2/2/2017,114.70,114.76,113.97,114.53,114.53,248300.00
2/3/2017,114.70,115.46,114.69,115.12,115.12,187500.00
2/6/2017,114.20,114.48,112.75,113.31,113.31,437900.00
2/7/2017,113.50,113.52,112.73,113.04,113.04,344400.00
2/8/2017,113.34,113.41,112.87,113.27,113.27,251400.00
2/9/2017,111.81,111.99,111.12,111.92,111.92,445300.00
2/10/2017,112.55,113.15,112.50,112.89,112.89,376900.00
2/13/2017,114.07,114.50,113.89,114.13,114.13,414100.00
2/14/2017,114.34,114.49,113.76,114.47,114.47,234200.00
2/15/2017,113.72,113.72,113.32,113.61,113.61,189000.00
2/16/2017,113.20,113.61,113.09,113.35,113.35,196100.00
2/17/2017,112.49,113.70,112.34,113.70,113.70,240400.00
2/21/2017,114.08,114.59,113.82,114.30,114.30,268800.00
2/22/2017,114.21,114.45,114.07,114.40,114.40,187100.00
2/23/2017,114.68,114.89,114.38,114.59,114.59,181600.00
2/24/2017,113.90,114.03,113.49,113.77,113.77,179600.00
2/27/2017,113.71,114.27,113.67,114.24,114.24,180600.00
2/28/2017,113.60,113.65,112.99,113.15,113.15,196000.00
3/1/2017,114.82,114.98,114.51,114.74,114.74,240400.00
3/2/2017,113.59,113.89,113.16,113.39,113.39,252700.00
3/3/2017,113.27,113.54,113.07,113.34,113.34,123800.00
3/6/2017,113.14,113.14,112.75,112.91,112.91,162000.00
3/7/2017,112.69,113.05,112.50,112.65,112.65,171600.00
3/8/2017,112.55,112.59,111.76,111.80,111.80,178400.00
3/9/2017,112.11,112.41,111.88,112.19,112.19,150500.00
3/10/2017,112.84,112.98,112.40,112.66,112.66,286900.00
3/13/2017,113.37,113.82,113.33,113.40,113.40,233500.00
3/14/2017,112.48,112.60,112.01,112.09,112.09,130600.00
3/15/2017,112.63,113.50,112.54,113.24,113.24,170500.00
3/16/2017,113.71,113.96,113.17,113.24,113.24,109400.00
3/17/2017,112.64,112.74,112.07,112.21,112.21,480500.00
3/20/2017,112.26,112.60,111.94,112.00,112.00,186600.00
3/21/2017,112.69,112.86,111.12,111.39,111.39,383100.00
3/22/2017,110.89,111.00,110.12,110.83,110.83,279300.00
3/23/2017,110.55,111.09,110.32,110.51,110.51,159900.00
3/24/2017,111.11,111.62,110.92,111.36,111.36,161700.00
3/27/2017,111.03,111.96,110.76,111.73,111.73,211700.00
3/28/2017,111.90,112.59,111.79,112.41,112.41,205400.00
3/29/2017,110.26,110.34,110.11,110.25,110.25,390400.00
3/30/2017,110.00,110.30,109.89,110.06,110.06,202800.00
3/31/2017,108.93,108.93,108.41,108.62,108.62,310000.00
4/3/2017,108.62,108.80,107.91,108.52,108.52,258500.00
4/4/2017,108.06,108.35,107.87,108.01,108.01,336400.00
4/5/2017,107.03,107.03,106.06,106.14,106.14,533500.00
4/6/2017,105.68,105.89,105.34,105.50,105.50,392200.00
4/7/2017,105.76,106.10,105.62,105.91,105.91,233700.00
4/10/2017,106.11,106.48,105.82,105.98,105.98,379500.00
4/11/2017,106.77,106.79,106.06,106.40,106.40,419400.00
4/12/2017,105.99,105.99,105.40,105.44,105.44,311400.00
4/13/2017,105.13,105.15,104.17,104.18,104.18,346200.00
4/17/2017,105.93,106.21,105.70,106.12,106.12,361900.00
4/18/2017,105.62,105.66,105.08,105.32,105.32,199700.00
4/19/2017,105.00,105.11,104.50,104.62,104.62,214000.00
4/20/2017,105.66,106.16,105.64,106.00,106.00,234600.00
4/21/2017,106.85,107.24,106.46,106.58,106.58,226100.00
4/24/2017,107.19,107.26,106.70,106.99,106.99,257500.00
4/25/2017,108.61,108.94,108.55,108.72,108.72,309900.00
4/26/2017,109.92,110.33,109.80,109.91,109.91,410000.00
4/27/2017,109.80,109.90,109.20,109.41,109.41,213800.00
4/28/2017,108.35,108.59,108.07,108.14,108.14,227000.00
5/1/2017,108.29,108.42,108.09,108.30,108.30,108900.00
