Date,Price,Open,High,Low,Vol.,Change
2/7/2018,13728,13821,13821,13360,233540,0.1036
2/8/2018,13821,13821,14005,13821,298220,0.0068
2/9/2018,13867,13774,13867,12577,370190,0.0033
2/12/2018,14005,13821,14189,13821,248300,0.01
2/13/2018,14281,13959,14972,13959,867350,0.0197
2/21/2018,14512,14742,14834,14512,626020,0.0162
2/22/2018,14281,14558,14742,14281,521490,-0.0159
2/23/2018,14097,14005,14512,13821,995420,-0.0129
2/26/2018,14097,14235,14281,14097,634610,0
2/27/2018,14143,14235,14696,14143,2720000,0.0033
2/28/2018,14972,14281,16124,14281,5590000,0.0586
3/1/2018,14972,15341,15663,14972,2170000,0
3/2/2018,15663,14926,16032,14742,2140000,0.0462
3/5/2018,16124,15663,17045,15663,3050000,0.0294
3/6/2018,16723,16354,16723,15940,1640000,0.0371
3/7/2018,17137,16723,17276,16585,2490000,0.0248
3/8/2018,17875,17184,17967,17137,2880000,0.0431
3/9/2018,17829,17875,18289,17736,3130000,-0.0026
3/12/2018,17644,18013,18151,17414,4080000,-0.0104
3/13/2018,18289,17506,18381,17506,1040000,0.0366
3/14/2018,19533,18842,19533,18243,1620000,0.068
3/15/2018,19809,19579,20224,19579,1570000,0.0141
3/16/2018,19809,19809,20178,19211,1330000,0
3/19/2018,18980,19902,19948,18888,1860000,-0.0418
3/20/2018,18658,18980,19165,18520,2190000,-0.017
3/21/2018,18381,18658,18796,17967,2630000,-0.0148
3/22/2018,18335,18427,18427,18151,425840,-0.0025
3/23/2018,17967,18243,18243,17552,1380000,-0.0201
3/26/2018,18197,17875,18289,17690,615770,0.0128
3/27/2018,18381,18427,18658,18335,489660,0.0101
3/28/2018,18013,18427,18473,17921,514880,-0.02
3/29/2018,18842,18059,19349,18059,1110000,0.046
3/30/2018,18658,19072,19072,18427,373720,-0.0098
4/2/2018,18566,18612,18658,18197,706700,-0.0049
4/3/2018,18151,18473,18658,18151,449790,-0.0224
4/4/2018,18105,18151,18427,18105,840000,-0.0025
4/5/2018,18013,18289,18381,17921,778130,-0.0051
4/6/2018,18151,18289,18289,18059,498540,0.0077
4/9/2018,18381,18381,18381,18013,887990,0.0127
4/10/2018,19026,18381,19118,18243,2240000,0.0351
4/11/2018,18842,19118,19303,18566,1140000,-0.0097
4/12/2018,18934,18888,18980,18427,498200,0.0049
4/13/2018,18381,18934,19026,18335,1000000,-0.0292
4/16/2018,18381,18381,18704,18059,553490,0
4/17/2018,18520,18381,18658,18381,370740,0.0076
4/18/2018,18289,18566,18658,18243,351330,-0.0125
4/19/2018,17506,18612,18658,17506,788490,-0.0428
4/20/2018,38700,38000,44200,37000,590550,1.2107
4/23/2018,16585,17829,17829,16585,873180,-0.5714
4/24/2018,16354,16585,16953,15940,1220000,-0.0139
4/26/2018,14742,16585,16585,14512,641080,-0.0986
4/27/2018,16078,14742,16124,14742,604910,0.0906
5/2/2018,15663,15848,15894,15387,237080,-0.0258
5/3/2018,16493,15203,16493,14972,595250,0.053
5/4/2018,16170,16493,16585,16124,139550,-0.0196
5/7/2018,16308,15986,16354,15986,138940,0.0085
5/8/2018,16400,16585,16861,16262,276080,0.0056
5/9/2018,16124,16354,16354,16124,165110,-0.0168
5/10/2018,15663,15802,16216,15663,151990,-0.0286
5/11/2018,15755,15341,15755,15249,188200,0.0059
5/14/2018,15203,15479,15479,15203,108860,-0.035
5/15/2018,15433,15617,15617,15387,48560,0.0151
5/16/2018,15203,15341,15433,15064,131030,-0.0149
5/17/2018,15064,15157,15157,14834,174860,-0.0091
5/18/2018,14466,14926,14926,14189,451160,-0.0397
5/21/2018,14512,14466,14742,14281,510970,0.0032
5/22/2018,13913,14512,14512,13774,670860,-0.0413
5/23/2018,13821,13590,14005,13498,497370,-0.0066
5/24/2018,13682,13821,13821,13544,276570,-0.0101
5/25/2018,13406,13590,13636,13406,328900,-0.0202
5/28/2018,11978,13590,13590,11932,267640,-0.1065
5/29/2018,12669,12208,13222,12208,801190,0.0577
5/30/2018,12807,12807,13130,12669,544850,0.0109
5/31/2018,12945,12761,13037,12715,471530,0.0108
6/1/2018,12991,12899,13176,12899,347480,0.0036
6/4/2018,13959,12899,14189,12899,498870,0.0745
6/5/2018,14005,13959,14650,13821,477280,0.0033
6/6/2018,13959,14005,14051,13821,420300,-0.0033
6/7/2018,14373,14051,14512,14005,662280,0.0297
6/8/2018,14466,14281,14512,14097,405380,0.0065
6/11/2018,14419,14281,14512,14097,281310,-0.0032
6/12/2018,14005,14235,14281,13728,457240,-0.0287
6/13/2018,13959,13913,14097,13821,134770,-0.0033
6/14/2018,13590,13821,14281,13360,533900,-0.0264
6/15/2018,13498,13544,13590,13452,147240,-0.0068
6/18/2018,13130,13498,13498,12945,154440,-0.0273
6/19/2018,12669,12899,12899,12208,684880,-0.0351
6/20/2018,12623,12669,12899,12485,602300,-0.0036
6/21/2018,12439,12669,12669,12346,370970,-0.0146
6/22/2018,12485,12531,12669,12439,234780,0.0037
6/25/2018,12715,12669,13314,12577,206110,0.0184
6/26/2018,12899,12669,12899,12439,307650,0.0145
6/27/2018,12439,12669,12669,12439,286840,-0.0357
6/28/2018,12346,12439,12439,12300,211940,-0.0075
6/29/2018,12439,12346,12669,12208,262080,0.0075
7/2/2018,11886,12208,12208,11747,216610,-0.0445
7/3/2018,11517,11978,11978,11056,276040,-0.031
7/4/2018,11333,11747,11747,11149,239060,-0.016
7/5/2018,10596,11103,11287,10596,377750,-0.065
7/6/2018,11103,10918,11471,10365,254880,0.0478
7/9/2018,11010,11056,11517,10826,385980,-0.0084
