Date,Close,Open,High,Low,Vol.,Change %
01-11-18,42236,42850,42927,42082,1560000,-1.08%
02-11-18,43158,42236,43234,42236,1450000,2.18%
05-11-18,43388,42927,43388,42697,1110000,0.53%
06-11-18,42850,43772,43772,42850,852000,-1.24%
07-11-18,42620,42850,43158,42313,852740,-0.54%
08-11-18,42774,43542,43618,42774,734620,0.36%
09-11-18,41698,42390,42774,41698,1130000,-2.52%
12-11-18,41929,41468,41929,40547,877860,0.55%
13-11-18,41161,40931,41698,40931,767540,-1.83%
14-11-18,40854,41161,41698,40547,676430,-0.75%
15-11-18,41007,40854,41161,40316,1060000,0.37%
16-11-18,40854,41468,41545,40777,1570000,-0.37%
19-11-18,41468,41468,41468,40854,1460000,1.50%
20-11-18,41315,41468,41468,40931,1390000,-0.37%
21-11-18,42543,40777,42543,40700,2430000,2.97%
22-11-18,42082,42236,42620,42006,1230000,-1.08%
23-11-18,41468,42006,42236,41468,1140000,-1.46%
26-11-18,41468,41468,41698,41238,859900,0.00%
27-11-18,41007,41775,42006,40854,1640000,-1.11%
28-11-18,42313,41007,42313,41007,1890000,3.18%
29-11-18,42236,42697,43311,42236,3010000,-0.18%
30-11-18,42543,42159,43004,42082,1830000,0.73%
03-12-18,44540,43542,44540,43158,2840000,4.69%
04-12-18,44233,44386,44770,43849,1740000,-0.69%
05-12-18,44386,43772,44693,43388,2570000,0.35%
06-12-18,43695,44079,44540,43542,2880000,-1.56%
07-12-18,43925,44079,44309,43849,1070000,0.53%
10-12-18,43695,43925,44079,43465,1340000,-0.52%
11-12-18,43618,43695,43925,43158,1430000,-0.18%
12-12-18,44540,44002,44540,43618,1870000,2.11%
13-12-18,44233,44770,44847,44233,1090000,-0.69%
14-12-18,43388,44156,44233,43388,1120000,-1.91%
17-12-18,42082,43004,43311,42082,2280000,-3.01%
18-12-18,42313,41545,42620,41545,1860000,0.55%
19-12-18,41775,42313,42543,41545,1440000,-1.27%
20-12-18,41929,41698,42390,41698,1120000,0.37%
21-12-18,41852,41852,41852,41315,2160000,-0.18%
24-12-18,40777,41852,42159,40777,1100000,-2.57%
25-12-18,40470,39932,40700,39164,2510000,-0.75%
