Date,Close,Open,High,Low,Vol.,Change %
27-08-18,132162,134389,134389,131915,1370000,-1.17
28-08-18,131338,131998,132080,131091,1270000,-0.62
29-08-18,129936,131503,131585,129359,1350000,-1.07
30-08-18,129030,129936,130019,128205,1080000,-0.7
31-08-18,129194,129442,130926,129194,871330,0.13
04-09-18,129194,130101,130101,129112,828940,0
05-09-18,97419,100913,100913,97187,1500000,-24.59
06-09-18,94780,97419,98118,94703,1480000,-2.71
07-09-18,98661,94703,99050,94703,1060000,4.09
10-09-18,99050,98972,99671,98817,724640,0.39
11-09-18,102465,98972,102776,98972,1840000,3.45
12-09-18,102776,103241,104639,102620,1610000,0.3
13-09-18,102543,102465,102853,101534,786200,-0.23
14-09-18,103241,102543,104018,102543,1160000,0.68
17-09-18,105570,104018,105570,103474,1380000,2.26
18-09-18,107123,105648,107744,104949,1570000,1.47
19-09-18,106967,107123,107278,106269,1120000,-0.15
20-09-18,105570,106502,106579,105570,925820,-1.31
21-09-18,106967,105570,106967,104716,2210000,1.32
24-09-18,106346,106967,106967,105725,767660,-0.58
25-09-18,106269,106346,106424,105725,576180,-0.07
26-09-18,105958,106269,106269,105803,501740,-0.29
27-09-18,107511,106346,108675,106191,1180000,1.47
28-09-18,106579,107511,107821,106579,624020,-0.87
01-10-18,105803,106191,106346,105570,617780,-0.73
02-10-18,106346,104794,106812,104794,697610,0.51
03-10-18,106269,106346,106424,105958,841540,-0.07
04-10-18,106269,106269,106346,105492,365540,0
05-10-18,104949,105570,105648,104794,623020,-1.24
08-10-18,103241,104095,104561,103241,680100,-1.63
09-10-18,101611,102620,103241,101534,792760,-1.58
10-10-18,100913,101301,101611,100757,763980,-0.69
11-10-18,98584,95479,100136,95479,1420000,-2.31
12-10-18,99748,98584,99903,96721,1150000,1.18
15-10-18,97575,100136,100136,97497,830620,-2.18
16-10-18,97808,97808,98118,97187,1190000,0.24
17-10-18,98506,98972,98972,98040,533150,0.71
18-10-18,97808,98506,98584,97730,418930,-0.71
19-10-18,98429,97109,98429,96333,1310000,0.63
22-10-18,97652,97808,98429,97652,379740,-0.79
23-10-18,95867,97575,97575,94470,1440000,-1.83
24-10-18,95168,95867,95867,94625,890590,-0.73
25-10-18,93150,93150,93849,90899,1390000,-2.12
26-10-18,94314,94625,94703,93849,771620,1.25
29-10-18,93150,94314,94314,92141,586570,-1.23
30-10-18,91054,93150,93150,91054,642080,-2.25
31-10-18,90123,91054,91598,88881,1290000,-1.02
01-11-18,88725,90821,90821,86552,2070000,-1.55
02-11-18,91986,88725,92219,88725,1920000,3.68
05-11-18,90433,90899,91675,89191,1010000,-1.69
06-11-18,91365,90433,92219,89657,1920000,1.03
07-11-18,92762,91365,93538,91365,1610000,1.53
08-11-18,93150,93771,93926,92762,979070,0.42
09-11-18,90821,91598,92529,90744,873780,-2.5
12-11-18,90821,89502,90821,89346,716330,0
13-11-18,90045,89424,90666,89114,580570,-0.85
14-11-18,91209,90045,91830,89890,809110,1.29
15-11-18,90821,91209,91598,89269,667630,-0.43
16-11-18,89269,90821,91209,89269,679850,-1.71
19-11-18,89579,90045,90278,89191,887340,0.35
20-11-18,90433,89579,90511,89502,858110,0.95
21-11-18,92529,90045,92529,89812,1340000,2.32
22-11-18,93228,92529,93383,92529,1120000,0.76
23-11-18,91598,93072,93072,91209,500320,-1.75
26-11-18,95556,91753,95789,91598,2180000,4.32
27-11-18,98196,96643,98972,95634,2260000,2.76
28-11-18,99360,97808,100136,97808,1600000,1.19
29-11-18,98040,99748,99748,98040,1160000,-1.33
30-11-18,99360,97808,99748,97808,1700000,1.35
03-12-18,103707,99360,104018,99360,1540000,4.38
04-12-18,105958,104018,105958,103707,1200000,2.17
05-12-18,103241,104406,104949,102543,1330000,-2.56
06-12-18,102232,102465,103086,100835,1310000,-0.98
07-12-18,103940,102543,104483,102543,611800,1.67
