Date,Close,Open,High,Low,Vol.,Change %
09-07-18,20453.5,20886.5,21064.8,20275.2,1.02M,-1.59%
10-07-18,20580.9,20529.9,20733.7,20377.1,434.85K,0.62%
11-07-18,19969.5,20122.4,20377.1,19663.9,1.40M,-2.97%
12-07-18,19765.8,19663.9,20198.8,19612.9,1.19M,-1.02%
13-07-18,20682.7,20122.4,20784.6,20020.5,1.85M,4.64%
16-07-18,20835.6,20937.5,21141.2,20708.2,1.13M,0.74%
17-07-18,21345,20733.7,21345,20657.3,2.26M,2.44%
18-07-18,21854.4,21395.9,21854.4,21345,1.91M,2.39%
19-07-18,21650.7,21497.8,21854.4,21497.8,1.31M,-0.93%
20-07-18,21192.2,21548.8,21548.8,21013.9,1.49M,-2.12%
23-07-18,21395.9,21497.8,21752.5,21319.5,1.94M,0.96%
24-07-18,21497.8,21395.9,21625.2,21090.3,2.04M,0.48%
25-07-18,21599.7,21548.8,22312.9,21497.8,2.31M,0.47%
26-07-18,21676.1,21752.5,21905.4,21446.9,1.25M,0.35%
27-07-18,22058.2,21854.4,22363.9,21676.1,2.26M,1.76%
30-07-18,22058.2,22109.1,22160.1,22007.3,2.09M,0.00%
31-07-18,21803.5,22058.2,22160.1,21803.5,2.78M,-1.15%
01-08-18,21395.9,21752.5,21930.8,21345,4.24M,-1.87%
02-08-18,21752.5,21395.9,21752.5,21192.2,1.27M,1.67%
03-08-18,21701.6,21905.4,21956.3,21599.7,1.26M,-0.23%
06-08-18,21523.3,21599.7,21752.5,21523.3,611.05K,-0.82%
07-08-18,21370.5,21548.8,21548.8,21268.6,1.13M,-0.71%
08-08-18,21650.7,21370.5,21701.6,21345,1.33M,1.31%
09-08-18,21803.5,21905.4,22007.3,21676.1,2.15M,0.71%
10-08-18,21956.3,21803.5,22134.6,21752.5,1.39M,0.70%
13-08-18,22134.6,21956.3,22262,21956.3,1.81M,0.81%
14-08-18,22567.6,22287.4,22593.1,22211,2.80M,1.96%
15-08-18,22312.9,22567.6,22771.4,22262,2.89M,-1.13%
16-08-18,22417.2,22365,22417.2,22130.4,2.41M,0.47%
17-08-18,22677.8,22521.4,22677.8,22417.2,1.62M,1.16%
20-08-18,22782.1,22677.8,23094.9,22495.4,1.67M,0.46%
21-08-18,22782.1,22730,22834.2,22625.7,1.26M,0.00%
22-08-18,22964.6,22808.2,23094.9,22782.1,2.01M,0.80%
23-08-18,23147,22990.6,23199.2,22990.6,1.75M,0.79%
24-08-18,23173.1,23147,23199.2,22886.4,1.10M,0.11%
27-08-18,23147,23094.9,23199.2,23042.8,1.41M,-0.11%
28-08-18,23042.8,23094.9,23173.1,22964.6,1.59M,-0.45%
29-08-18,23042.8,23016.7,23147,22912.4,1.35M,0.00%
30-08-18,23016.7,23042.8,23042.8,22912.4,1.10M,-0.11%
31-08-18,23042.8,23016.7,23407.7,22990.6,1.79M,0.11%
04-09-18,22990.6,22990.6,23303.4,22938.5,1.11M,-0.23%
05-09-18,22573.6,22964.6,23042.8,22417.2,1.47M,-1.81%
06-09-18,22078.3,22469.3,22573.6,22078.3,2.11M,-2.19%
07-09-18,22417.2,22156.5,22417.2,22078.3,888.16K,1.53%
10-09-18,22182.6,22521.4,22521.4,22182.6,641.16K,-1.05%
11-09-18,22495.4,22182.6,22521.4,22182.6,981.57K,1.41%
12-09-18,22443.2,22677.8,22782.1,22443.2,833.57K,-0.23%
13-09-18,22625.7,22782.1,22886.4,22521.4,1.13M,0.81%
14-09-18,23225.2,22730,23303.4,22730,4.84M,2.65%
17-09-18,22990.6,23199.2,23199.2,22990.6,985.99K,-1.01%
18-09-18,23355.6,22782.1,23355.6,22782.1,1.40M,1.59%
